net,length_um
clknet_4_12__leaf_s_axi_aclk,316.09
net163,315.92
_04686_,315.89
axi_slave_fsm_block.axi_wdata_reg\[19\],315.5
_05159_,313.555
net230,313.48
net371,312.94
net168,312.86
clknet_4_3__leaf_s_axi_aclk,312.6
net138,312.48
_04658_,312.37
net91,312.245
_02346_,312.21
net263,311.64
net137,311.2
net305,309.72
net235,308.96
_03037_,305.95
net14,305.94
net133,305.86
net337,305.34
net228,305.32
net306,304.54
net388,304.48
net135,303.98
net203,303.82
net433,301.85
_03356_,301.42
_05135_,300.855
_03082_,300.75
clknet_4_15__leaf_s_axi_aclk,299.24
net175,298.96
net209,296.94
_02741_,296.28
_05158_,295.64
_03818_,295.21
net259,295.035
_03814_,294.88
net67,294.16
net129,294.12
_02830_,292.97
net418,292.51
net221,291.97
net106,289.65
_02466_,289.36
net482,288.46
_05042_,285.16
axi_slave_fsm_block.axi_araddr_reg\[27\],284.43
net335,282.47
_03046_,281.9
_03103_,281.76
_03804_,281.48
_04537_,280.72
net18,280.5
_05153_,279.48
_03025_,277.89
_05154_,277.14
_03069_,277.01
_03799_,276.735
net483,276.47
_03810_,275.58
_03085_,275.01
net400,272.98
axi_slave_fsm_block.axi_awaddr_reg\[8\],272.84
_04505_,272.73
_02261_,271.94
_02640_,271.94
_05380_,271.78
net503,271.4
_03036_,270.78
net206,270.68
net56,270.42
_03026_,269.47
_05161_,267.605
net111,267.4
_04659_,266.5
_03812_,265.77
net435,265.55
_03018_,265.32
axi_slave_fsm_block.axi_awaddr_reg\[3\],265.18
axi_slave_fsm_block.axi_wdata_reg\[25\],264.52
_04328_,264.32
net427,264.25
_05377_,264.22
_03483_,264.16
net266,264.1
net428,264.07
net560,263.16
_05152_,262.94
_04685_,262.72
_05151_,262.605
net54,262.42
_03048_,262.31
net144,262.12
net148,261.74
net139,260.78
net398,260.58
_03049_,260.48
_05359_,258.45
axi_slave_fsm_block.sw_wfifo_wdata\[10\],257.4
_03041_,256.8
net408,256.48
_02638_,256.21
_02742_,255.72
_04675_,255.7
_04676_,255.2
net94,254.92
net279,254.84
_05354_,254.62
_05414_,253.98
_04369_,253.83
net304,253.26
apb_master_fsm_block.m_apb_read_response\[31\],253.12
_03033_,252.71
_03628_,252.69
_02246_,252.56
_03038_,252.17
_03806_,251.94
_03079_,251.22
_04677_,251.18
apb_master_fsm_block.m_apb_paddr_reg\[2\],250.7
_02743_,250.2
net39,250
net458,249.98
apb_master_fsm_block.m_apb_read_response\[33\],249.94
_02631_,249.46
net413,249.34
_04546_,249.32
_04436_,248.48
_05162_,247.98
_03029_,247.96
_03447_,247.92
net141,247.92
net391,247.72
apb_master_fsm_block.rfifo_data_latch\[42\],247.7
net146,247.1
_03156_,246.98
_03034_,246.72
_03019_,246.66
net417,246.4
net264,246.32
_03031_,246.24
net51,246.22
_05016_,246.02
apb_master_fsm_block.m_apb_read_response\[29\],246.02
_02745_,245.84
_02192_,245.52
_02225_,245.3
net48,244.94
_05404_,243.81
net277,243.78
_02702_,243.42
_02850_,243.27
apb_master_fsm_block.rfifo_data_latch\[37\],242.06
_04503_,241.785
_04099_,241.22
_03043_,241.02
_05148_,240.82
_02618_,240.025
_03256_,239.24
net290,239.02
_02766_,238.9
net241,238.76
net416,238.74
_04135_,238.7
axi_slave_fsm_block.sr_wfifo_wdata\[38\],238.11
_04550_,238.08
_04678_,237.66
net329,237.52
_02636_,237.24
_05399_,237.18
_05146_,236.86
_03032_,236.82
net45,236.77
_04357_,236.37
_02623_,236.34
_05347_,236.22
