net,length_um
_04618_,21.14
_02751_,21.12
async_fifo_Reading.async_fifo\[8\]\[27\],21.12
async_fifo_Writing.async_fifo\[12\]\[14\],21
async_fifo_Reading.async_fifo\[3\]\[22\],20.94
net378,20.92
async_fifo_Reading.async_fifo\[13\]\[18\],20.905
_05099_,20.9
async_fifo_Writing.async_fifo\[10\]\[18\],20.88
async_fifo_Reading.async_fifo\[13\]\[33\],20.86
_04952_,20.84
apb_master_fsm_block.m_apb_pwdata_reg\[25\],20.84
async_fifo_Writing.async_fifo\[10\]\[17\],20.84
prdata_slaves[113],20.84
net1373,20.84
net2001,20.84
apb_master_fsm_block.rfifo_data_latch\[9\],20.82
async_fifo_Writing.async_fifo\[4\]\[0\],20.805
async_fifo_Reading.async_fifo\[1\]\[6\],20.785
async_fifo_Reading.async_fifo\[2\]\[18\],20.785
async_fifo_Writing.async_fifo\[15\]\[66\],20.76
_02942_,20.74
async_fifo_Reading.async_fifo\[9\]\[18\],20.74
async_fifo_Reading.rptr\[4\],20.74
_01236_,20.725
async_fifo_Writing.async_fifo\[1\]\[27\],20.7
_02770_,20.66
_05326_,20.64
_05174_,20.62
async_fifo_Writing.async_fifo\[9\]\[36\],20.605
apb_master_fsm_block.rfifo_data_latch\[32\],20.58
async_fifo_Reading.async_fifo\[1\]\[20\],20.52
async_fifo_Reading.async_fifo\[2\]\[22\],20.465
async_fifo_Writing.async_fifo\[8\]\[52\],20.445
apb_master_fsm_block.rfifo_empty,20.43
async_fifo_Writing.async_fifo\[12\]\[10\],20.42
apb_master_fsm_block.m_apb_pwdata_reg\[14\],20.4
async_fifo_Reading.async_fifo\[11\]\[6\],20.4
apb_master_fsm_block.rfifo_data_latch\[16\],20.38
_02314_,20.34
_02828_,20.32
_05256_,20.32
_05116_,20.24
s_axi_araddr[27],20.19
async_fifo_Writing.async_fifo\[12\]\[31\],20.18
async_fifo_Writing.async_fifo\[2\]\[0\],20.18
_05264_,20.12
_02687_,20.1
async_fifo_Writing.async_fifo\[0\]\[37\],20.08
_02625_,20.06
_02771_,20.06
_02953_,20.06
s_axi_awaddr[13],20.06
clknet_leaf_51_s_axi_aclk,20.06
apb_master_fsm_block.m_apb_pwdata_reg\[10\],20.04
net2004,20.02
async_fifo_Writing.async_fifo\[15\]\[28\],20
_02334_,19.96
_02805_,19.96
async_fifo_Writing.async_fifo\[6\]\[2\],19.94
async_fifo_Writing.async_fifo\[0\]\[29\],19.92
net649,19.9
_04668_,19.88
_02843_,19.86
async_fifo_Writing.async_fifo\[4\]\[36\],19.805
async_fifo_Reading.async_fifo\[3\]\[27\],19.8
async_fifo_Writing.async_fifo\[2\]\[63\],19.8
async_fifo_Reading.async_fifo\[1\]\[10\],19.785
async_fifo_Writing.async_fifo\[11\]\[47\],19.76
async_fifo_Writing.async_fifo\[9\]\[8\],19.76
_04715_,19.74
net353,19.72
_05310_,19.7
apb_master_fsm_block.rfifo_data_latch\[54\],19.7
async_fifo_Writing.async_fifo\[6\]\[46\],19.7
_02669_,19.68
async_fifo_Writing.async_fifo\[10\]\[65\],19.68
_04601_,19.66
async_fifo_Writing.async_fifo\[6\]\[6\],19.66
net233,19.64
apb_master_fsm_block.m_apb_pwdata_reg\[5\],19.62
async_fifo_Writing.async_fifo\[14\]\[64\],19.62
axi_slave_fsm_block.axi_araddr_reg\[28\],19.58
apb_master_fsm_block.rfifo_data_latch\[47\],19.54
net982,19.54
_02824_,19.52
_04988_,19.52
async_fifo_Reading.async_fifo\[14\]\[31\],19.515
async_fifo_Writing.async_fifo\[5\]\[11\],19.5
axi_slave_fsm_block.sr_curr_state\[3\],19.5
apb_master_fsm_block.pselr_delay_cntr\[0\],19.48
async_fifo_Reading.async_fifo\[1\]\[23\],19.465
_00698_,19.445
_04477_,19.44
async_fifo_Writing.async_fifo\[14\]\[25\],19.43
net294,19.42
_02263_,19.4
async_fifo_Writing.async_fifo\[14\]\[63\],19.4
_04868_,19.38
_02338_,19.36
apb_master_fsm_block.m_apb_pwdata_reg\[18\],19.34
_05207_,19.3
async_fifo_Writing.async_fifo\[1\]\[18\],19.3
_02837_,19.28
async_fifo_Writing.async_fifo\[6\]\[37\],19.28
async_fifo_Reading.async_fifo\[13\]\[31\],19.265
async_fifo_Writing.wptr_gray_sync2\[4\],19.24
net1457,19.24
apb_master_fsm_block.m_apb_paddr_reg\[19\],19.22
net1195,19.22
async_fifo_Writing.async_fifo\[5\]\[68\],19.2
_04747_,19.18
_02360_,19.16
_02713_,19.16
_02814_,19.16
async_fifo_Writing.async_fifo\[15\]\[27\],19.16
async_fifo_Writing.async_fifo\[10\]\[2\],19.14
async_fifo_Writing.async_fifo\[9\]\[17\],19.125
async_fifo_Reading.async_fifo\[13\]\[16\],19.08
_02380_,19.06
_00040_,19.04
apb_master_fsm_block.m_apb_pwdata_reg\[9\],19.04
m_apb_pwdata[2],19.04
_02866_,19.02
net1301,19
_02845_,18.98
_02686_,18.9
async_fifo_Writing.async_fifo\[3\]\[60\],18.9
async_fifo_Writing.async_fifo\[5\]\[7\],18.9
_05048_,18.86
async_fifo_Writing.async_fifo\[12\]\[24\],18.86
async_fifo_Writing.async_fifo\[12\]\[30\],18.86
async_fifo_Writing.async_fifo\[13\]\[14\],18.86
async_fifo_Writing.async_fifo\[13\]\[51\],18.84
async_fifo_Writing.async_fifo\[2\]\[13\],18.84
async_fifo_Writing.async_fifo\[2\]\[6\],18.825
async_fifo_Writing.async_fifo\[10\]\[44\],18.82
async_fifo_Reading.async_fifo\[1\]\[15\],18.8
net1323,18.8
_05237_,18.78
async_fifo_Writing.async_fifo\[15\]\[18\],18.78
_04976_,18.76
s_axi_araddr[26],18.76
_04930_,18.74
axi_slave_fsm_block.sr_wfifo_wdata\[36\],18.74
_02658_,18.72
async_fifo_Writing.async_fifo\[10\]\[36\],18.72
async_fifo_Writing.rptr_gray_sync2\[4\],18.72
async_fifo_Writing.async_fifo\[14\]\[58\],18.7
async_fifo_Writing.async_fifo\[6\]\[36\],18.7
net1450,18.68
_02895_,18.66
_05000_,18.64
async_fifo_Writing.async_fifo\[10\]\[15\],18.64
net269,18.64
async_fifo_Writing.async_fifo\[14\]\[41\],18.62
async_fifo_Writing.async_fifo\[7\]\[7\],18.62
async_fifo_Writing.async_fifo\[3\]\[5\],18.6
m_apb_pstrb[1],18.59
async_fifo_Reading.async_fifo\[14\]\[21\],18.58
async_fifo_Writing.async_fifo\[10\]\[27\],18.58
_04730_,18.56
async_fifo_Reading.async_fifo\[1\]\[32\],18.545
_02663_,18.52
_02888_,18.52
_04666_,18.52
async_fifo_Writing.async_fifo\[2\]\[9\],18.5
_04717_,18.48
async_fifo_Reading.async_fifo\[3\]\[10\],18.48
axi_slave_fsm_block.axi_araddr_reg\[31\],18.48
net663,18.48
async_fifo_Writing.async_fifo\[12\]\[13\],18.44
apb_master_fsm_block.m_apb_pwdata_reg\[22\],18.42
async_fifo_Reading.async_fifo\[1\]\[13\],18.405
_04882_,18.4
async_fifo_Writing.async_fifo\[2\]\[59\],18.385
_02772_,18.38
async_fifo_Writing.async_fifo\[2\]\[17\],18.38
s_axi_rdata_return[12],18.38
net1251,18.38
async_fifo_Reading.async_fifo\[14\]\[30\],18.335
_02223_,18.32
async_fifo_Writing.async_fifo\[2\]\[18\],18.3
async_fifo_Writing.async_fifo\[6\]\[49\],18.3
net1274,18.3
async_fifo_Writing.async_fifo\[13\]\[7\],18.24
net276,18.24
async_fifo_Writing.async_fifo\[4\]\[22\],18.225
async_fifo_Writing.async_fifo\[1\]\[65\],18.22
s_axi_wdata[9],18.22
async_fifo_Writing.async_fifo\[9\]\[30\],18.205
async_fifo_Writing.async_fifo\[12\]\[29\],18.2
apb_master_fsm_block.rfifo_data_latch\[52\],18.18
async_fifo_Reading.async_fifo\[9\]\[12\],18.16
async_fifo_Writing.async_fifo\[7\]\[54\],18.16
_05194_,18.12
async_fifo_Reading.async_fifo\[9\]\[15\],18.1
async_fifo_Reading.async_fifo\[1\]\[16\],18.085
async_fifo_Reading.async_fifo\[13\]\[13\],18.065
_04758_,18.06
_02310_,18.035
_02677_,18.02
apb_master_fsm_block.rfifo_data_latch\[63\],18.02
async_fifo_Reading.async_fifo\[15\]\[7\],18.02
_02226_,18
_02967_,18
async_fifo_Writing.async_fifo\[4\]\[12\],17.985
async_fifo_Writing.async_fifo\[13\]\[44\],17.98
net2019,17.98
_02673_,17.96
_02799_,17.96
_02626_,17.94
_04834_,17.94
_05077_,17.94
_05316_,17.94
axi_slave_fsm_block.sr_wfifo_wdata\[41\],17.94
net1298,17.94
_04689_,17.92
async_fifo_Reading.rptr\[1\],17.9
axi_slave_fsm_block.sr_axi_arvalid_recieved,17.9
net1908,17.855
async_fifo_Reading.async_fifo\[1\]\[8\],17.845
async_fifo_Writing.async_fifo\[4\]\[30\],17.8
async_fifo_Writing.async_fifo\[14\]\[37\],17.78
_03278_,17.76
async_fifo_Reading.async_fifo\[3\]\[12\],17.74
async_fifo_Writing.async_fifo\[8\]\[30\],17.74
_05324_,17.72
async_fifo_Writing.async_fifo\[2\]\[56\],17.705
_05117_,17.66
net1285,17.66
async_fifo_Writing.async_fifo\[9\]\[51\],17.625
async_fifo_Writing.async_fifo\[2\]\[41\],17.62
async_fifo_Writing.async_fifo\[2\]\[62\],17.615
async_fifo_Writing.async_fifo\[10\]\[16\],17.6
net1429,17.6
net1938,17.6
apb_master_fsm_block.m_apb_pwdata_reg\[29\],17.58
net1343,17.58
async_fifo_Reading.async_fifo\[11\]\[12\],17.56
async_fifo_Writing.wptr\[0\],17.54
net234,17.54
async_fifo_Writing.async_fifo\[3\]\[24\],17.52
async_fifo_Writing.async_fifo\[5\]\[6\],17.52
net1202,17.52
_02732_,17.48
async_fifo_Writing.async_fifo\[1\]\[41\],17.48
s_axi_araddr[1],17.48
apb_master_fsm_block.waiting_delay_cntr\[0\],17.47
_03616_,17.46
_04698_,17.46
_04847_,17.46
async_fifo_Writing.async_fifo\[2\]\[1\],17.46
prdata_slaves[19],17.46
net775,17.46
net1388,17.46
net1362,17.445
async_fifo_Writing.async_fifo\[14\]\[60\],17.44
clknet_leaf_65_s_axi_aclk,17.44
net1311,17.44
axi_slave_fsm_block.axi_araddr_reg\[23\],17.42
apb_master_fsm_block.m_apb_pwdata_reg\[15\],17.34
s_axi_rdata_return[17],17.31
async_fifo_Writing.async_fifo\[4\]\[9\],17.28
async_fifo_Writing.async_fifo\[6\]\[52\],17.28
_04831_,17.24
async_fifo_Writing.async_fifo\[15\]\[52\],17.24
axi_slave_fsm_block.axi_awaddr_reg\[7\],17.24
_00758_,17.225
async_fifo_Writing.async_fifo\[9\]\[6\],17.205
async_fifo_Writing.async_fifo\[11\]\[30\],17.18
async_fifo_Writing.async_fifo\[5\]\[36\],17.18
net1228,17.18
async_fifo_Reading.async_fifo\[1\]\[14\],17.165
async_fifo_Writing.async_fifo\[10\]\[22\],17.14
_02255_,17.12
net343,17.12
_04887_,17.1
net1308,17.1
_02381_,17.08
_02681_,17.06
_04967_,17.06
_05023_,17.06
async_fifo_Writing.async_fifo\[7\]\[44\],17.04
async_fifo_Reading.async_fifo\[14\]\[14\],17.025
_02703_,17.02
_02707_,17.02
net1027,17.02
net1452,17.02
apb_master_fsm_block.m_apb_pwdata_reg\[19\],17
async_fifo_Writing.async_fifo\[7\]\[22\],16.98
async_fifo_Writing.rptr_gray_sync2\[2\],16.98
net1171,16.98
async_fifo_Reading.async_fifo\[1\]\[18\],16.945
_02939_,16.94
apb_master_fsm_block.m_apb_paddr_reg\[11\],16.9
apb_master_fsm_block.rfifo_data_latch\[46\],16.9
apb_master_fsm_block.m_apb_pwdata_reg\[3\],16.88
async_fifo_Reading.async_fifo\[1\]\[19\],16.88
async_fifo_Writing.async_fifo\[4\]\[56\],16.865
async_fifo_Writing.async_fifo\[1\]\[36\],16.86
async_fifo_Writing.async_fifo\[9\]\[39\],16.845
apb_master_fsm_block.rfifo_data_latch\[60\],16.84
async_fifo_Reading.async_fifo\[13\]\[34\],16.825
async_fifo_Writing.async_fifo\[15\]\[16\],16.82
async_fifo_Writing.async_fifo\[6\]\[25\],16.82
async_fifo_Writing.async_fifo\[7\]\[11\],16.82
net1187,16.82
_02719_,16.78
_03909_,16.78
_04567_,16.78
_05142_,16.78
async_fifo_Reading.async_fifo\[7\]\[24\],16.78
net1384,16.78
net889,16.76
_05098_,16.72
net177,16.72
async_fifo_Writing.async_fifo\[15\]\[22\],16.7
_00338_,16.685
async_fifo_Writing.async_fifo\[15\]\[33\],16.68
axi_slave_fsm_block.sr_wfifo_wdata\[58\],16.68
async_fifo_Writing.async_fifo\[13\]\[60\],16.66
_00014_,16.64
async_fifo_Writing.async_fifo\[14\]\[50\],16.64
async_fifo_Writing.async_fifo\[4\]\[63\],16.625
async_fifo_Writing.async_fifo\[10\]\[23\],16.62
async_fifo_Writing.async_fifo\[10\]\[51\],16.62
async_fifo_Writing.async_fifo\[12\]\[35\],16.615
_05086_,16.6
axi_slave_fsm_block.sr_wfifo_wdata\[46\],16.6
_04240_,16.58
async_fifo_Writing.async_fifo\[1\]\[16\],16.58
async_fifo_Writing.async_fifo\[2\]\[64\],16.58
_02660_,16.56
async_fifo_Reading.async_fifo\[3\]\[30\],16.53
apb_master_fsm_block.m_apb_paddr_reg\[4\],16.48
async_fifo_Writing.async_fifo\[11\]\[14\],16.48
net1431,16.48
_02968_,16.44
async_fifo_Writing.async_fifo\[3\]\[21\],16.44
async_fifo_Reading.async_fifo\[12\]\[8\],16.42
_00986_,16.405
_02287_,16.4
net651,16.4
async_fifo_Reading.async_fifo\[13\]\[25\],16.385
_05406_,16.36
async_fifo_Writing.async_fifo\[12\]\[36\],16.36
net1017,16.36
_02963_,16.34
_04949_,16.34
_04474_,16.32
_05109_,16.32
async_fifo_Writing.async_fifo\[10\]\[39\],16.32
_05217_,16.3
async_fifo_Reading.async_fifo\[1\]\[17\],16.3
async_fifo_Writing.async_fifo\[12\]\[41\],16.28
async_fifo_Writing.async_fifo\[14\]\[57\],16.28
_02733_,16.26
async_fifo_Writing.async_fifo\[10\]\[24\],16.26
async_fifo_Writing.async_fifo\[14\]\[3\],16.26
async_fifo_Reading.async_fifo\[1\]\[7\],16.245
async_fifo_Reading.async_fifo\[8\]\[25\],16.24
async_fifo_Writing.async_fifo\[9\]\[18\],16.235
_00690_,16.205
_05302_,16.2
async_fifo_Writing.async_fifo\[2\]\[34\],16.185
async_fifo_Writing.async_fifo\[14\]\[62\],16.18
async_fifo_Writing.async_fifo\[15\]\[14\],16.18
async_fifo_Writing.async_fifo\[5\]\[21\],16.18
net102,16.18
s_axi_rdata_return[9],16.17
async_fifo_Writing.async_fifo\[8\]\[56\],16.155
_00702_,16.145
_02879_,16.14
_05088_,16.14
apb_master_fsm_block.m_apb_pwdata_reg\[0\],16.14
net2027,16.14
_02746_,16.12
_02906_,16.12
net1024,16.12
_04972_,16.1
async_fifo_Writing.async_fifo\[0\]\[28\],16.1
axi_slave_fsm_block.sr_wfifo_wdata\[47\],16.1
net1074,16.1
_00633_,16.085
async_fifo_Writing.async_fifo\[2\]\[8\],16.08
net1133,16.08
async_fifo_Reading.async_fifo\[0\]\[10\],16.06
async_fifo_Writing.async_fifo\[10\]\[26\],16.06
async_fifo_Writing.async_fifo\[1\]\[22\],16.06
async_fifo_Writing.async_fifo\[3\]\[64\],16.06
async_fifo_Writing.async_fifo\[12\]\[28\],16.04
async_fifo_Reading.async_fifo\[8\]\[6\],16.02
async_fifo_Writing.async_fifo\[5\]\[37\],16.02
_02718_,16
_05128_,16
async_fifo_Writing.async_fifo\[14\]\[9\],16
prdata_slaves[104],16
s_axi_wdata[16],15.99
async_fifo_Writing.async_fifo\[12\]\[39\],15.94
async_fifo_Writing.async_fifo\[6\]\[39\],15.94
net1381,15.94
net1423,15.94
net2008,15.94
_00532_,15.925
async_fifo_Reading.async_fifo\[14\]\[33\],15.92
apb_master_fsm_block.waiting_delay_cntr\[1\],15.9
async_fifo_Reading.async_fifo\[15\]\[8\],15.9
async_fifo_Reading.async_fifo\[5\]\[22\],15.9
async_fifo_Writing.async_fifo\[7\]\[16\],15.9
_05085_,15.88
async_fifo_Writing.async_fifo\[11\]\[61\],15.88
async_fifo_Reading.async_fifo\[7\]\[4\],15.86
async_fifo_Writing.async_fifo\[7\]\[39\],15.84
_02685_,15.8
net1396,15.8
_02298_,15.76
async_fifo_Writing.async_fifo\[1\]\[7\],15.76
async_fifo_Writing.async_fifo\[5\]\[10\],15.76
axi_slave_fsm_block.axi_awaddr_reg\[15\],15.76
apb_master_fsm_block.m_apb_pwdata_reg\[17\],15.74
async_fifo_Writing.async_fifo\[13\]\[18\],15.74
_04621_,15.72
net1348,15.72
net2014,15.72
async_fifo_Reading.async_fifo\[13\]\[28\],15.705
async_fifo_Reading.async_fifo\[4\]\[15\],15.7
async_fifo_Writing.async_fifo\[10\]\[10\],15.7
axi_slave_fsm_block.r_addr_error,15.685
_04918_,15.68
async_fifo_Writing.async_fifo\[11\]\[46\],15.68
s_axi_rdata_return[6],15.66
async_fifo_Writing.async_fifo\[4\]\[59\],15.645
async_fifo_Writing.async_fifo\[10\]\[64\],15.64
async_fifo_Writing.async_fifo\[1\]\[23\],15.64
_00500_,15.625
net1422,15.625
async_fifo_Reading.async_fifo\[10\]\[22\],15.6
async_fifo_Writing.async_fifo\[14\]\[29\],15.58
net1238,15.58
async_fifo_Reading.async_fifo\[0\]\[19\],15.56
async_fifo_Writing.async_fifo\[0\]\[24\],15.56
async_fifo_Writing.async_fifo\[13\]\[45\],15.56
net1264,15.56
_02796_,15.54
_02842_,15.54
async_fifo_Writing.async_fifo\[11\]\[38\],15.52
async_fifo_Writing.async_fifo\[15\]\[38\],15.52
net1366,15.505
_03066_,15.5
async_fifo_Reading.async_fifo\[6\]\[35\],15.5
s_axi_rdata[24],15.49
async_fifo_Writing.async_fifo\[2\]\[7\],15.485
_05218_,15.48
async_fifo_Writing.async_fifo\[2\]\[58\],15.475
_03292_,15.46
_00771_,15.445
prdata_slaves[27],15.44
async_fifo_Writing.async_fifo\[8\]\[13\],15.405
_00003_,15.4
_02322_,15.4
async_fifo_Writing.async_fifo\[5\]\[60\],15.4
_00296_,15.385
async_fifo_Writing.async_fifo\[10\]\[20\],15.38
apb_master_fsm_block.m_apb_pwdata_reg\[21\],15.36
_02654_,15.34
_02790_,15.34
_03329_,15.34
_05024_,15.34
axi_slave_fsm_block.axi_awaddr_reg\[13\],15.34
net1378,15.34
_03297_,15.32
_05300_,15.32
async_fifo_Writing.async_fifo\[13\]\[6\],15.32
async_fifo_Writing.async_fifo\[3\]\[22\],15.32
s_axi_wdata[10],15.32
net2023,15.32
apb_master_fsm_block.rfifo_data_latch\[34\],15.3
async_fifo_Writing.async_fifo\[5\]\[18\],15.3
async_fifo_Writing.async_fifo\[6\]\[61\],15.3
async_fifo_Writing.async_fifo\[7\]\[8\],15.3
async_fifo_Reading.async_fifo\[9\]\[10\],15.28
async_fifo_Writing.async_fifo\[8\]\[37\],15.275
_01234_,15.26
_02747_,15.26
async_fifo_Reading.async_fifo\[1\]\[29\],15.26
_00539_,15.245
_03130_,15.24
_04636_,15.24
_02827_,15.22
_05314_,15.22
async_fifo_Writing.async_fifo\[1\]\[61\],15.22
async_fifo_Writing.async_fifo\[6\]\[55\],15.22
net749,15.22
_00779_,15.205
async_fifo_Writing.async_fifo\[9\]\[60\],15.205
apb_master_fsm_block.m_apb_pwdata_reg\[23\],15.2
async_fifo_Writing.async_fifo\[2\]\[42\],15.2
async_fifo_Writing.async_fifo\[6\]\[13\],15.18
axi_slave_fsm_block.axi_awaddr_reg\[31\],15.18
net1705,15.16
_01230_,15.14
apb_master_fsm_block.m_apb_paddr_reg\[24\],15.12
net1159,15.12
async_fifo_Writing.async_fifo\[9\]\[38\],15.105
apb_master_fsm_block.m_apb_pstrb_reg\[1\],15.1
async_fifo_Reading.async_fifo\[11\]\[7\],15.1
_02370_,15.08
_02764_,15.08
async_fifo_Writing.async_fifo\[2\]\[30\],15.065
_00721_,15.06
_02286_,15.06
async_fifo_Writing.async_fifo\[12\]\[12\],15.06
net258,15.06
net1989,15.06
net1210,15.04
_02951_,15.02
async_fifo_Writing.async_fifo\[0\]\[17\],15.02
async_fifo_Writing.async_fifo\[15\]\[32\],15
net1382,15
apb_master_fsm_block.rfifo_data_latch\[57\],14.98
async_fifo_Writing.async_fifo\[6\]\[54\],14.98
async_fifo_Writing.async_fifo\[7\]\[20\],14.98
net877,14.98
_00627_,14.965
_00987_,14.94
async_fifo_Writing.async_fifo\[14\]\[20\],14.94
_04936_,14.92
apb_master_busy,14.92
apb_master_fsm_block.m_apb_paddr_reg\[14\],14.92
net1958,14.92
apb_master_fsm_block.m_apb_pwdata_reg\[7\],14.9
async_fifo_Writing.async_fifo\[11\]\[28\],14.9
_02921_,14.88
_05037_,14.88
_05155_,14.88
_01270_,14.84
apb_master_fsm_block.m_apb_paddr_reg\[17\],14.84
net1117,14.84
apb_master_fsm_block.m_apb_paddr_reg\[22\],14.82
_00425_,14.805
_03423_,14.8
async_fifo_Writing.async_fifo\[14\]\[17\],14.8
async_fifo_Writing.async_fifo\[14\]\[54\],14.8
async_fifo_Writing.async_fifo\[5\]\[24\],14.8
net1438,14.8
async_fifo_Writing.async_fifo\[8\]\[55\],14.785
_03512_,14.78
_05214_,14.78
async_fifo_Reading.async_fifo\[4\]\[29\],14.78
async_fifo_Writing.async_fifo\[10\]\[50\],14.78
m_apb_paddr[31],14.78
s_axi_rdata_return[4],14.78
net892,14.78
_02781_,14.76
_05084_,14.76
async_fifo_Writing.async_fifo\[14\]\[10\],14.76
net937,14.76
apb_master_fsm_block.rfifo_data_latch\[0\],14.74
async_fifo_Reading.async_fifo\[1\]\[24\],14.74
_00731_,14.725
_05376_,14.72
async_fifo_Reading.async_fifo\[12\]\[18\],14.72
async_fifo_Writing.async_fifo\[13\]\[48\],14.72
_00677_,14.705
_02051_,14.705
_02878_,14.7
_05203_,14.7
apb_master_fsm_block.rfifo_data_latch\[18\],14.68
async_fifo_Writing.async_fifo\[14\]\[46\],14.68
async_fifo_Writing.async_fifo\[15\]\[44\],14.68
_02678_,14.66
s_axi_rvalid,14.66
async_fifo_Writing.async_fifo\[4\]\[41\],14.655
async_fifo_Writing.async_fifo\[3\]\[65\],14.64
async_fifo_Writing.async_fifo\[3\]\[9\],14.64
axi_slave_fsm_block.sr_wfifo_wdata\[45\],14.64
net1386,14.64
_00482_,14.625
_02787_,14.62
_03527_,14.62
_03598_,14.62
async_fifo_Reading.async_fifo\[10\]\[35\],14.62
async_fifo_Writing.async_fifo\[0\]\[14\],14.62
_02241_,14.6
async_fifo_Reading.async_fifo\[1\]\[5\],14.6
async_fifo_Reading.async_fifo\[1\]\[9\],14.6
async_fifo_Writing.async_fifo\[0\]\[49\],14.6
async_fifo_Writing.async_fifo\[4\]\[17\],14.6
_00503_,14.565
async_fifo_Reading.async_fifo\[2\]\[12\],14.565
async_fifo_Reading.async_fifo\[11\]\[10\],14.56
async_fifo_Writing.rptr_gray\[3\],14.56
net1407,14.56
net1424,14.56
net983,14.555
async_fifo_Writing.async_fifo\[9\]\[37\],14.545
s_axi_wdata[15],14.54
async_fifo_Reading.async_fifo\[14\]\[17\],14.525
_03857_,14.52
apb_master_fsm_block.m_apb_pwdata_reg\[20\],14.52
async_fifo_Reading.async_fifo\[13\]\[27\],14.52
async_fifo_Writing.async_fifo\[13\]\[5\],14.52
async_fifo_Writing.async_fifo\[14\]\[0\],14.52
async_fifo_Writing.async_fifo\[9\]\[44\],14.52
_00516_,14.505
_04985_,14.48
async_fifo_Writing.async_fifo\[10\]\[56\],14.48
async_fifo_Writing.async_fifo\[5\]\[31\],14.48
_00707_,14.465
_01296_,14.445
async_fifo_Reading.wptr\[4\],14.445
apb_master_fsm_block.m_apb_pwdata_reg\[6\],14.44
net1903,14.44
_00292_,14.425
_02714_,14.42
_05045_,14.42
async_fifo_Writing.async_fifo\[3\]\[2\],14.42
async_fifo_Writing.async_fifo\[3\]\[31\],14.42
async_fifo_Writing.async_fifo\[3\]\[39\],14.42
net1838,14.42
_03599_,14.4
_00689_,14.385
async_fifo_Reading.async_fifo\[12\]\[15\],14.38
async_fifo_Writing.async_fifo\[10\]\[33\],14.38
axi_slave_fsm_block.sr_wfifo_wdata\[48\],14.38
net1376,14.345
_05228_,14.3
async_fifo_Reading.async_fifo\[15\]\[27\],14.3
async_fifo_Writing.async_fifo\[11\]\[24\],14.3
async_fifo_Writing.async_fifo\[12\]\[65\],14.3
async_fifo_Writing.async_fifo\[14\]\[24\],14.3
async_fifo_Writing.async_fifo\[5\]\[58\],14.3
async_fifo_Reading.async_fifo\[2\]\[10\],14.28
async_fifo_Writing.async_fifo\[7\]\[41\],14.28
async_fifo_Writing.async_fifo\[9\]\[59\],14.275
apb_master_fsm_block.rfifo_data_latch\[59\],14.26
async_fifo_Writing.async_fifo\[12\]\[27\],14.26
net929,14.26
net1260,14.26
prdata_slaves[57],14.25
async_fifo_Reading.async_fifo\[8\]\[10\],14.24
net181,14.24
net1943,14.24
_04476_,14.22
prdata_slaves[115],14.22
_04960_,14.2
async_fifo_Writing.async_fifo\[4\]\[43\],14.195
_02471_,14.18
async_fifo_Writing.async_fifo\[11\]\[16\],14.18
async_fifo_Writing.async_fifo\[15\]\[30\],14.18
async_fifo_Writing.async_fifo\[0\]\[32\],14.16
net1244,14.16
_00359_,14.155
async_fifo_Writing.async_fifo\[12\]\[5\],14.14
async_fifo_Writing.async_fifo\[13\]\[56\],14.14
async_fifo_Writing.async_fifo\[3\]\[38\],14.14
async_fifo_Writing.async_fifo\[8\]\[3\],14.135
net830,14.12
net1193,14.12
net1610,14.12
apb_master_fsm_block.rfifo_data_latch\[41\],14.1
async_fifo_Writing.async_fifo\[5\]\[39\],14.1
async_fifo_Writing.async_fifo\[7\]\[49\],14.1
_02737_,14.08
async_fifo_Reading.async_fifo\[3\]\[35\],14.08
s_axi_araddr[25],14.08
net1981,14.08
async_fifo_Writing.async_fifo\[8\]\[59\],14.065
async_fifo_Writing.async_fifo\[15\]\[24\],14.06
async_fifo_Writing.async_fifo\[1\]\[8\],14.06
prdata_slaves[69],14.06
_00971_,14.045
_01373_,14.045
async_fifo_Writing.async_fifo\[0\]\[18\],14.04
net425,14.04
net993,14.04
apb_master_fsm_block.rfifo_data_latch\[14\],14.02
_01287_,14.005
_01802_,14
_02846_,14
net1933,14
_02736_,13.96
_02823_,13.96
_02930_,13.96
net925,13.96
async_fifo_Writing.async_fifo\[8\]\[60\],13.945
_02283_,13.94
_03658_,13.94
async_fifo_Writing.async_fifo\[0\]\[16\],13.94
async_fifo_Writing.async_fifo\[3\]\[29\],13.94
_01302_,13.925
async_fifo_Writing.async_fifo\[12\]\[11\],13.92
net1183,13.905
_03422_,13.9
net1065,13.9
_05118_,13.88
async_fifo_Writing.async_fifo\[12\]\[26\],13.88
async_fifo_Writing.async_fifo\[8\]\[10\],13.88
async_fifo_Writing.async_fifo\[8\]\[18\],13.86
m_apb_pwdata[12],13.86
_02690_,13.84
_02763_,13.84
_05280_,13.84
async_fifo_Reading.async_fifo\[9\]\[6\],13.84
clknet_leaf_48_s_axi_aclk,13.84
_01186_,13.825
async_fifo_Writing.async_fifo\[13\]\[21\],13.82
net1895,13.82
_04739_,13.8
async_fifo_Writing.async_fifo\[7\]\[33\],13.8
_00349_,13.785
apb_master_fsm_block.rfifo_data_latch\[8\],13.78
async_fifo_Writing.async_fifo\[15\]\[56\],13.78
async_fifo_Writing.async_fifo\[3\]\[61\],13.78
async_fifo_Writing.async_fifo\[4\]\[11\],13.775
async_fifo_Writing.async_fifo\[5\]\[12\],13.76
